dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60
0.14654437,-0.14247918,0.15616949,-0.17553759,0.3024166,-0.07127052,-0.012902469,-0.027739335,-0.1149005,-0.1361107,0.08143669,0.026430372,-0.16981807,-0.23090981,-0.06668147,0.06678232,0.2550454,0.040886413,1.1066793,0.14531837,-0.3389513,-0.21495788,-0.082523175,-0.18542063,0.21726742,0.45874768,-0.03918821,-0.48807275,-0.07677584,-0.031195568,0.11753568,0.7527141,-0.38565278,-0.23161149,-0.60590875,0.3744927,-0.12104829,0.14262894,-0.06735501,0.65285814,-0.34760493,-0.20825243,-0.07178844,0.7716941,-0.06185761,0.30465588,0.0036832131,0.015551802,0.09673372,-0.009199768,0.71949387,0.20183195,-0.11730166,0.00519469,-0.31590307,0.05483259,0.2363691,1.0040221,0.22322333,-0.07122929
0.01510188,0.09102558,0.13918924,-0.25791505,-0.22362328,-0.09460603,-0.014248311,-0.1148998,-0.13587421,0.09659446,-0.12229124,-0.10379666,-0.34221646,-0.03703501,-0.019659976,0.035805847,0.40964675,0.2650462,0.5727792,0.12869088,-0.20055941,-0.14965439,-0.0032093003,-0.20966575,0.29849878,0.44978544,0.0009280122,-0.1146324,0.046180945,-0.007823469,-0.5015979,0.45189664,-0.26518154,-0.11236631,1.1179873,0.7362037,0.21483943,0.20537779,0.25852787,0.6220839,-0.27104068,-0.15292323,0.040206004,0.03595135,0.021189995,-0.009465421,-0.103506625,0.060716446,0.13780136,0.05823278,0.8117711,0.064125605,-0.14180744,-0.22444445,0.031260543,0.021533001,0.042979125,1.2384924,0.3800806,-0.12561144
0.09311593,-0.06350539,-0.04559235,0.14978948,-0.09159794,0.040074386,-0.1785434,-0.055284772,0.03726839,0.024609976,0.16552895,-0.10123284,0.05001355,-0.03292975,0.35300595,-0.2425244,-0.45775294,-0.28833452,-0.14411,-0.33990797,0.1637309,-0.08861027,0.0437311,-0.036602296,0.10477099,-0.13976902,-0.6246598,0.2381949,0.27497995,-0.022955066,0.63818806,0.48708367,-0.15769307,0.031687714,0.48738816,-0.7151228,-0.40865624,0.033560082,-0.35480303,-0.4948232,-0.3418908,-0.16672134,-0.29947564,-0.7101638,0.05488289,0.08763809,0.015416484,-0.18598397,-0.040140457,0.13039622,-0.3019928,0.179947,0.02503582,-0.06620961,-0.2299012,0.14222412,0.1426409,-0.62588286,-0.15060271,-0.047737837
-0.01719334,-0.06895242,-0.070259064,-0.22029188,0.40446723,0.08328014,0.23829643,0.38752398,0.11309235,-0.05656358,0.028220156,0.08638301,-0.21770452,-0.016253518,0.14764307,-0.14796647,-0.01234388,0.090420514,-0.51856697,0.04719342,0.027095798,-0.007991731,0.20928305,0.117975004,-0.041177347,0.26330152,0.3498827,-0.19456111,0.15671903,-0.21395019,-0.8587073,-0.22861913,-0.065042995,-0.0809134,-1.7864629,0.11356195,0.057569716,0.11629911,-0.04501789,0.39671,0.12752758,0.12467573,-0.06406515,0.5322189,0.0056123473,0.027690427,0.19534919,-0.21845672,-0.03168054,-0.2340017,-0.895009,0.25191775,-0.1392478,0.17852405,0.19703412,-0.11316298,-0.25685453,0.22507207,-0.16661568,-0.034359246
0.06337042,-0.058646046,-0.24093507,-0.3124717,0.7234947,0.15838757,0.2496797,0.36009,-0.11147481,0.14597094,0.059394047,0.33194393,0.30822417,-0.0940771,-0.06746858,-0.37184858,0.10457143,-0.28340855,0.13811043,-0.12941055,-0.00014697388,0.20298983,-0.064115256,0.0029136539,-0.22235972,-0.12882254,0.40568087,0.13315599,-0.045268554,0.048844196,0.8457922,0.14615655,0.02120348,-0.12487075,-0.99146855,0.06692745,-0.2838671,0.18874173,0.073587865,-0.42188302,-0.14339656,-0.15359622,0.1197099,-0.6213693,-0.0038797995,0.5061963,0.04429197,0.05870905,-0.30963764,-0.68163186,0.19038112,0.1117137,-0.2942943,0.17944372,-0.21393993,0.22217408,-0.054277528,-1.3238202,0.06949104,0.053679183
-0.04211288,0.0006389357,0.04175945,0.21589747,0.034124054,-0.046548605,0.42065418,0.09213212,0.06572798,-0.22021183,0.00034012087,-0.16275838,-0.15574487,-0.0063707717,0.06112843,-0.33070835,-0.06435704,0.020249922,1.049762,-0.06752327,-0.21710293,0.030026883,0.037247144,-0.1955654,0.0766601,-0.35737684,0.2562204,0.17680724,-0.016986545,-0.19212252,-0.20139554,-0.6033686,-0.19478032,0.073263206,0.17824252,-0.7793081,-0.25380376,0.24235238,-0.29467425,0.16699795,0.058660883,0.29923603,-0.05930522,-0.8458958,-0.30702883,-0.17432764,0.026223224,-0.09613935,-0.30443192,0.07422437,-0.2507793,0.43304354,0.19094867,0.21075574,0.12370079,-0.43341482,-3.278628e-05,-0.14947256,-0.38632783,0.25123048
0.10761878,-0.011549158,0.038822364,-0.44122815,0.44058335,-0.20496905,0.18828854,0.5621733,0.08569318,-0.18461248,0.023433154,0.11670735,-0.19589606,-0.11952774,0.09468265,-0.07326,0.19261695,0.08065972,0.77528995,-0.0013152175,-0.19148825,0.08373451,0.024264254,-0.1579423,0.12825333,0.33916208,0.68494755,-0.13325952,0.16841218,-0.22058222,-0.31195283,-0.18613625,-0.22422627,0.26177955,-1.2337435,0.21328408,-0.10271472,0.021011183,-0.115672104,0.822546,0.03152356,-0.060215786,0.05813541,0.7971081,0.014366081,0.060565323,0.17700002,-0.0920719,0.03075602,-0.41066334,-0.55493826,0.28300795,-0.037956074,0.13327828,0.22773999,-0.2609032,-0.12402697,0.41451597,-0.3141075,0.08994756
-0.21399648,0.15800066,0.16885626,0.28341615,-0.38182002,-0.07144579,0.056316283,-0.30004266,0.16351055,-0.045949012,-0.110763416,-0.16388972,-0.1066191,0.16943981,-0.0026856307,0.26040956,-0.109966904,0.09654383,-0.06274814,-0.09085111,0.27375245,-0.31241798,0.23738691,-0.019226804,0.20636305,0.30709383,0.10283467,-0.46789336,-0.1329362,0.05022309,-0.47342935,0.44676304,-0.01874908,0.018724933,-0.3864597,0.122467265,0.12052335,0.15599903,0.23141523,-0.1021972,0.058595542,0.33780533,-0.021594621,1.0969504,0.055047818,-0.021802692,0.22836274,0.11155642,-0.038159445,0.36353317,0.3152108,0.14292711,0.08582376,0.011136033,-0.027622208,0.103785485,0.2198555,0.38688725,-0.111457795,-0.099095896
-0.21217473,0.13598184,0.05800556,0.095840134,-0.42341846,-0.14066027,0.045799125,-0.15614586,0.10763487,-0.03345882,0.15563203,-0.26133502,0.024554234,0.14326446,-0.06959655,0.22783165,0.04648413,-0.0013021268,-0.9446627,0.06348105,0.11476381,-0.07657301,-0.01754444,0.14021686,-0.09525369,0.07265079,0.6789908,-0.06771483,-0.09724115,-0.049309753,0.27734888,0.24106589,-0.008396917,0.19934154,0.20112647,0.3343889,0.078506574,-0.018827485,0.37523943,-0.75222063,0.11688465,0.13998076,-0.07454374,0.61328954,0.2733864,-0.051,0.16440299,0.07058446,-0.06503121,0.058179583,0.5803436,-0.13240698,0.04664381,0.0071214214,0.025850825,0.041653614,-0.12990619,-0.6961908,-0.12557249,0.09816177
0.08124696,0.03634716,0.3201727,-0.04038387,-0.30098426,-0.08274885,-0.09809281,-0.05473278,0.16360874,0.21793169,-0.017055364,-0.18255141,-0.072581,-0.15730458,0.0995773,-0.09331435,-0.09237769,0.058908854,1.1403737,-0.052269887,0.15989612,-0.18170549,0.33757332,-0.035833664,0.1715394,0.13919549,0.42199156,0.4186991,0.08817743,0.053016365,0.60878587,0.48323923,-0.052419595,0.14305437,1.0012889,-0.081930414,0.05288471,-0.091706574,0.07746142,-0.97758305,-0.14286995,-0.28301108,-0.21697754,0.3410738,0.091421336,-0.11221742,0.15448368,-0.1872794,-0.1706627,-0.00663634,0.13574393,-0.03913573,-0.13702834,-0.2933888,0.028036185,0.41676417,-0.044157293,-0.6309667,0.35685948,0.24052428
0.009344041,0.02587112,-0.31637904,0.044578068,-0.043764584,-0.12189785,0.31249806,-0.08767255,-0.20666213,-0.09956362,0.2659768,-0.21528153,0.0049872836,0.00078501366,-0.07475325,-0.28259024,0.30655265,-0.005410496,-0.118993945,0.17366172,-0.14158508,0.15851742,-0.32302785,0.0061557814,-0.10550064,-0.1239188,0.7589949,0.3809688,-0.18989472,-0.19691929,0.6387402,-0.31206468,-0.30763707,0.024404831,0.19846828,0.38123214,-0.12197891,0.43992788,0.29047978,-0.46107218,-0.28703427,-0.01919736,0.07328432,-0.5100861,0.19479863,0.009775931,-0.20370902,0.098598026,-0.43454298,-0.09207462,1.1388751,0.002305606,0.03256743,-0.005829029,-0.15177155,-0.27476078,-0.10479203,-0.52797365,-0.11938824,0.18543254
0.07210301,-0.14910209,-0.2294931,0.14711475,0.040412568,-0.054850325,0.13227758,0.19875734,0.0069513954,-0.29243007,0.1586892,-0.08471598,0.13369144,0.0010981318,0.11315177,-0.2195276,-0.096710086,-0.48998383,0.8177854,-0.20611323,-0.18913834,0.027122185,-0.4410256,-0.06098213,0.00782074,-0.3778368,-0.051519275,0.25618458,0.0611188,-0.076026306,1.0084922,0.13277045,0.02205535,-0.052969545,0.6163457,-0.89675033,-0.40118098,0.1310107,-0.22536191,0.11847129,-0.24231222,0.0051743835,-0.13034001,-0.38104808,-0.07072772,0.08754859,-0.24289055,-0.12013281,-0.25400057,-0.080147564,0.23064701,-0.24080051,0.30388194,0.1699762,-0.27187434,-0.070928484,0.14161287,-0.20757508,-0.51502824,0.068628654
-0.07340585,-0.06120713,-0.110042825,-0.05431118,0.0798862,-0.032323234,-0.4763791,-0.035698775,-0.18498467,0.109710775,-0.04824086,0.28044954,0.31820515,0.024044631,-0.20224194,0.34878537,0.051089086,-0.021295961,-1.7071135,0.0005934797,0.09364344,0.016894432,-0.21934596,-0.016148575,0.003649205,-0.109363005,-1.0151694,-0.10646083,-0.10928409,0.35017607,-0.090768844,0.40794367,0.3345006,-0.0260831,0.29272214,-0.08799041,0.17040421,-0.3658046,-0.010385523,0.66737807,-0.048679646,-0.29831958,0.06740305,-0.11773993,-0.116490826,0.107186735,-0.37230647,0.13997225,0.22214992,0.13588372,-0.28494373,-0.31836885,-0.054300494,-0.097693376,-0.15052557,0.08736254,0.2961766,0.8020919,-0.060125697,-0.29316378
0.05317758,-0.1452538,-0.06865999,-0.015329517,-0.087868236,0.04062157,0.25630543,0.116562545,0.045934018,-0.12501982,-0.053040624,-0.028188676,-0.08689318,0.071056835,0.16529249,-0.042231265,0.2711146,0.089528546,-0.24536599,-0.1153726,-0.34461677,-0.12049544,0.00023112446,-0.26423812,0.32444334,0.13590752,-0.23723173,-0.039009586,-0.047385346,-0.05528386,-0.3482476,0.225849,-0.30242306,-0.06759551,1.1769245,-0.22578257,-0.07484272,0.5725223,-0.08550382,0.7113776,-0.34943467,0.03914898,-0.016120765,-0.94105244,-0.22982751,-0.06253257,-0.021518625,0.03168195,-0.307138,0.010046776,0.850601,0.14643231,0.08252922,-0.15289095,-0.14824545,-0.28108358,0.14706421,1.0474108,0.07704529,0.067231156
