pig_count,tnt_count,material_types,object_types,object_count
1,0,4,8,19
2,3,4,11,70
4,0,4,7,41
1,1,4,9,21
4,0,4,6,19
3,0,4,9,53
2,0,4,5,21
5,0,4,6,66
1,1,4,10,47
4,0,4,8,22
4,0,4,8,67
1,0,4,9,73
1,0,4,12,66
2,0,4,11,36
1,0,4,8,80
1,0,4,6,28
2,1,4,10,25
1,0,4,9,81
5,0,4,5,17
3,1,4,9,80
5,0,4,5,21
4,0,4,8,58
4,0,4,10,24
1,1,4,11,28
5,0,4,6,35
5,0,4,7,23
1,0,4,9,30
3,0,4,10,35
4,0,4,6,37
1,0,4,10,68
3,0,4,7,34
5,0,4,6,49
3,0,4,10,36
1,0,4,10,42
2,1,4,10,41
5,0,4,5,56
4,2,4,10,29
3,0,4,8,45
4,0,4,5,60
5,0,4,6,32
5,0,4,7,21
3,0,4,4,10
2,0,4,7,64
3,0,4,10,42
3,1,4,9,34
3,0,4,8,54
5,0,4,7,108
2,0,4,10,26
5,0,4,7,80
2,0,4,7,16
1,1,4,12,35
2,0,4,8,25
2,0,4,8,55
1,2,4,12,30
1,0,4,11,55
2,0,4,6,12
2,0,4,10,41
2,1,4,10,58
2,1,4,10,77
3,0,4,10,33
1,0,4,10,51
2,0,4,8,83
1,0,4,11,69
5,0,4,7,34
5,0,4,10,52
1,0,4,7,42
4,0,4,11,41
4,0,4,4,13
4,0,4,7,91
3,0,4,6,30
2,0,4,10,43
3,0,4,6,46
2,0,4,8,28
3,0,4,5,24
2,1,4,8,29
1,0,4,8,30
5,0,4,8,68
3,0,4,4,26
1,1,4,8,31
3,0,4,8,37
1,2,4,9,48
1,1,4,8,34
5,0,4,9,49
4,2,4,7,36
2,2,4,11,94
3,0,4,5,45
1,0,4,10,32
5,0,3,5,21
4,0,4,7,35
5,0,3,7,21
4,0,4,11,72
3,0,3,4,11
3,0,4,6,25
3,0,4,9,38
1,1,4,10,40
2,0,4,12,53
5,0,4,10,33
5,0,4,7,43
5,0,4,6,19
4,0,3,4,11
4,0,4,6,42
2,0,4,8,72
2,0,4,8,30
1,1,4,8,67
3,0,4,9,34
3,0,4,10,38
2,0,4,10,36
5,0,4,7,27
1,0,4,7,115
2,0,3,4,10
4,0,4,6,50
2,1,4,11,26
4,0,4,7,28
2,1,4,7,37
3,0,4,6,39
2,2,4,8,63
3,0,4,9,26
2,1,3,5,15
4,0,4,6,37
3,0,4,11,62
3,1,4,8,48
2,0,4,8,96
2,1,4,11,64
3,0,4,8,35
2,0,4,6,17
2,0,4,9,29
1,0,3,6,18
5,1,4,11,31
2,0,4,8,45
5,0,4,7,33
1,1,4,9,50
1,0,4,7,48
1,0,4,10,39
3,0,4,6,40
3,0,4,7,14
2,1,4,9,25
5,0,3,4,26
4,0,4,8,35
4,0,4,4,43
2,0,4,7,131
5,0,4,9,26
1,0,4,8,30
1,1,4,8,32
3,2,4,11,91
3,0,4,9,32
4,1,4,10,73
3,2,4,8,41
3,0,4,9,27
1,0,4,6,18
4,0,4,7,106
4,0,4,6,40
5,0,4,10,29
4,0,4,9,38
4,0,4,9,31
1,0,4,8,31
2,0,4,7,28
3,0,4,6,12
5,0,4,6,66
4,0,4,7,73
4,0,4,7,76
5,0,4,7,20
1,1,4,8,32
4,0,4,6,33
2,0,4,8,26
1,0,4,7,36
3,0,4,5,78
4,0,4,7,62
1,1,4,9,43
2,0,4,8,55
4,0,4,4,27
1,2,4,9,39
3,0,4,4,20
1,2,4,9,51
4,0,4,8,43
2,0,4,9,45
1,1,4,11,41
1,0,4,9,114
4,0,3,8,41
3,0,4,9,34
1,0,4,10,61
